software,description,command,issue,BIC,BFC,url_issue,url_bic,url_bfc
mujs,a JavaScript interpreter supporting ES5 and some ES6 features,mujs @@,65,8c27b12,833f82c,https://github.com/ccxvii/mujs/issues/65,https://github.com/ccxvii/mujs/commit/8c27b12,https://github.com/ccxvii/mujs/commit/833f82c
mujs,a JavaScript interpreter supporting ES5 and some ES6 features,mujs @@,141,832e069,6871e5b,https://github.com/ccxvii/mujs/issues/141,https://github.com/ccxvii/mujs/commit/832e069,https://github.com/ccxvii/mujs/commit/6871e5b
mujs,a JavaScript interpreter supporting ES5 and some ES6 features,mujs @@,145,4c7f6be,f93d245,https://github.com/ccxvii/mujs/issues/145,https://github.com/ccxvii/mujs/commit/4c7f6be,https://github.com/ccxvii/mujs/commit/f93d245
mujs,a JavaScript interpreter supporting ES5 and some ES6 features,mujs @@,166,3f71a1c,8b5ba20,https://github.com/ccxvii/mujs/issues/166,https://github.com/ccxvii/mujs/commit/3f71a1c,https://github.com/ccxvii/mujs/commit/8b5ba20
libxml2,a XML library providing xmllint utility,xmllint --recover --sax1 --sax @@,535,9a82b94,d0c3f01,https://gitlab.gnome.org/GNOME/libxml2/issues/535,https://gitlab.gnome.org/GNOME/libxml2/commit/9a82b94,https://gitlab.gnome.org/GNOME/libxml2/commit/d0c3f01
libxml2,a XML library providing xmllint utility,xmllint --recover --dropdtd --nofixup-base-uris --sax1 @@,550,74c84a8,6273df6,https://gitlab.gnome.org/GNOME/libxml2/issues/550,https://gitlab.gnome.org/GNOME/libxml2/commit/74c84a8,https://gitlab.gnome.org/GNOME/libxml2/commit/6273df6
libxml2,a XML library providing xmllint utility,xmllint --encode UTF-16 --maxmem 325 --encode UTF-16 @@,553,1406b20,db21cd5,https://gitlab.gnome.org/GNOME/libxml2/issues/553,https://gitlab.gnome.org/GNOME/libxml2/commit/1406b20,https://gitlab.gnome.org/GNOME/libxml2/commit/db21cd5
libxml2,a XML library providing xmllint utility,xmllint --htmlout @@,720,14604a4,3ad7f81,https://gitlab.gnome.org/GNOME/libxml2/issues/720,https://gitlab.gnome.org/GNOME/libxml2/commit/14604a4,https://gitlab.gnome.org/GNOME/libxml2/commit/3ad7f81
libxml2,a XML library providing xmllint utility,xmllint -repeat -push @@,841,9cfc723,dc6270d,https://gitlab.gnome.org/GNOME/libxml2/issues/841,https://gitlab.gnome.org/GNOME/libxml2/commit/9cfc723,https://gitlab.gnome.org/GNOME/libxml2/commit/dc6270d
poppler,a PDF processing library with utilities,pdfunite @@ @@ /tmp/out.pdf,1282,3d35d20,4564a00,https://gitlab.freedesktop.org/poppler/poppler/issues/1282,https://gitlab.freedesktop.org/poppler/poppler/commit/3d35d20,https://gitlab.freedesktop.org/poppler/poppler/commit/4564a00
poppler,a PDF processing library with utilities,pdfunite @@ @@ /tmp/out.pdf,1289,3cae777,efb6868,https://gitlab.freedesktop.org/poppler/poppler/issues/1289,https://gitlab.freedesktop.org/poppler/poppler/commit/3cae777,https://gitlab.freedesktop.org/poppler/poppler/commit/efb6868
poppler,a PDF processing library with utilities,pdftops @@ /dev/null,1303,e674ca6,a4ca3a9,https://gitlab.freedesktop.org/poppler/poppler/issues/1303,https://gitlab.freedesktop.org/poppler/poppler/commit/e674ca6,https://gitlab.freedesktop.org/poppler/poppler/commit/a4ca3a9
poppler,a PDF processing library with utilities,pdftoppm -mono -cropbox @@,1305,aaf2e80,907d05a,https://gitlab.freedesktop.org/poppler/poppler/issues/1305,https://gitlab.freedesktop.org/poppler/poppler/commit/aaf2e80,https://gitlab.freedesktop.org/poppler/poppler/commit/907d05a
poppler,a PDF processing library with utilities,pdftoppm -mono -cropbox @@,1381,245abad,1be35ee,https://gitlab.freedesktop.org/poppler/poppler/issues/1381,https://gitlab.freedesktop.org/poppler/poppler/commit/245abad,https://gitlab.freedesktop.org/poppler/poppler/commit/1be35ee
jerryscript,a lightweight JavaScript engine for resource-constrained devices,jerry @@,5013,b7e3bae,3686410,https://github.com/jerryscript-project/jerryscript/issues/5013,https://github.com/jerryscript-project/jerryscript/commit/b7e3bae,https://github.com/jerryscript-project/jerryscript/commit/3686410
